Value,Value Counts
"2,117,000",2
28.2,2
"690,000",2
"5,940,000",2
"9,232,265,000",2
"351,490",2
"53,500",2
"3,465,000",2
"1,001",2
"2,760,000",2
200,2
"436,110",2
"1,299",2
11.2,2
"6,480,000",2
"12,395,000",2
36.4,2
"1,003,000",2
"850,000",2
"68,244,000",2
"5,126",2
"343,000",2
"67,741,000",2
"2,742,000",2
"21,200",2
"433,000",2
"2,474",2
1.65,2
"1,551,000",2
"2,509,000",2
"6,870",2
"2,610,000",2
"2,912,000",2
580,2
"238,000",2
"20,295,000",2
36.6,2
"43,200,000",2
"1,872,000",2
"3,151,000",2
"3,286,000",2
"4,425,000",2
"86,100,000",2
628,2
3.45,2
"804,000",2
860,2
"1,973,000",2
"45,900",2
"59,500",2
"2,125,000",2
"2,550",2
"2,305",2
6.3,2
"3,570,000",2
"2,794,000",2
"4,800",2
585,2
"68,320,000",2
"9,375,119,000",2
"2,675,000",2
326,2
344,2
"562,000",2
"2,660,000",2
"6,270",2
"704,000",2
"14,181",2
"1,664,000",2
362,2
"70,171,100",2
"11,948,000",2
261,2
35.7,2
"2,110",2
"94,257",2
"1,945,000",2
"5,220",2
"2,205,000",2
"63,863,000",2
46.9,2
232,2
"650,910",2
258,2
"40,500",2
"577,000",2
352,2
"2,980",2
"6,875,000",2
"2,504",2
"94,000",2
"2,792,500",2
"7,700",2
"842,620",2
"1,090,000",2
"31,216,300",2
"23,250,000",2
549,2
"1,861,110",2
"110,000,000",2
"9,100",2
"1,379,760",2
"223,440,000",2
"2,056,000",2
"1,161,000",2
"2,585,000",2
"91,580,000",2
"1,010",2
"3,185",2
"3,318,000",2
"3,871",2
"4,040,809",2
"16,809",2
"5,200",2
"238,370",2
"60,204,620",2
"1,695,000",2
"4,860,000",2
"4,750,000",2
32.1,2
"331,315,000",2
"396,000",2
"77,280,000",2
"340,025,000",2
"14,854,390",2
"93,552,000",2
"100,100,000",2
"72,420,000",2
"632,170",2
"539,750",2
"2,392,900",2
"202,272,000",2
3.05,2
"60,820,000",2
"3,132,000",2
298,2
"2,750,000",2
"1,365,000",2
366,2
198,2
"41,284,740",2
"2,075,000",2
18.2,2
"2,145,000",2
"274,000",2
"4,730,000",2
"2,500,600",2
"29,388,000",2
"6,200,000",2
"2,642,800",2
"74,600",2
"65,422,700",2
"31,943",2
"3,666,000",2
"3,185,000",2
"156,000",2
2.09,2
"4,088,000",2
"62,700,000",2
"2,211,000",2
"194,000",2
"7,420",2
1.47,2
"67,482,750",2
"1,732",2
"2,201,000",2
"2,470,000",2
"99,449,090",2
"84,600",2
"1,595,000",2
"1,559,186",2
"138,492",2
140.5,2
529,2
"2,412,550",2
"9,200",2
"1,386,000",2
44.6,2
"18,025",2
"1,212,240",2
0.74,2
"48,432,750",2
"455,000",2
65.6,2
"10,127,000",2
"4,034,500",2
"314,000",2
"55,350,000",2
"376,000",2
