type,state,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
prcp,DE,2007,106.98,55.82,90.04,166.92,40.00,88.42,60.74,104.36,35.18,141.50,44.40,130.90
prcp,DE,2008,48.06,90.54,94.26,72.18,131.22,75.64,126.96,26.92,103.90,56.82,108.56,141.82
prcp,DE,2009,60.30,10.64,53.28,124.28,123.18,147.94,68.06,214.10,143.76,179.68,93.04,201.86
prcp,DE,2010,62.98,105.18,155.30,56.16,58.44,46.54,158.36,89.40,104.80,148.30,61.26,63.74
prcp,DE,2011,73.70,58.84,108.18,102.50,77.48,70.50,84.62,316.34,129.72,90.12,86.92,109.22
prcp,DE,2012,56.70,38.32,33.10,49.74,75.34,83.56,70.48,114.32,93.68,185.00,30.08,108.80
prcp,DE,2013,78.52,57.52,71.22,76.20,68.58,284.34,163.14,130.00,32.50,103.48,62.22,107.12
prcp,DE,2014,71.60,104.40,79.36,145.62,82.12,84.54,96.16,101.80,81.20,67.22,102.44,86.52
prcp,DE,2015,112.70,46.82,115.14,89.86,32.84,270.10,80.76,73.64,93.68,105.32,70.04,118.58
prcp,DE,2016,49.70,98.28,40.62,55.36,148.24,111.32,141.18,62.06,204.64,48.28,31.48,80.32
prcp,DE,2017,69.12,29.36,96.78,78.20,166.32,78.60,180.26,192.84,68.86,79.02,49.44,21.28
prcp,DE,2018,64.02,180.64,91.18,80.22,169.10,108.66,157.66,140.50,213.68,107.24,193.48,144.20
prcp,DE,2019,83.28,73.20,92.42,85.08,116.92,131.12,115.76,67.66,25.94,124.50,35.18,102.30
prcp,DE,2020,83.56,69.76,88.30,116.06,68.44,87.52,162.88,244.96,111.78,121.12,134.72,133.50
prcp,DE,2021,48.06,112.26,,,,,,,,,,
prcp,FL,1990,47.82,86.23,59.11,60.82,86.48,125.37,165.15,176.81,99.64,104.31,40.17,36.30
prcp,FL,1991,194.68,39.63,147.22,134.60,187.05,211.07,247.56,146.70,107.82,110.03,26.62,23.53
prcp,FL,1992,81.05,97.04,81.04,70.51,58.38,309.78,112.03,236.54,147.14,102.37,120.87,29.68
prcp,FL,1993,159.73,81.15,117.15,56.60,68.21,116.49,138.57,141.96,145.00,172.22,46.87,47.74
prcp,FL,1994,143.59,66.26,85.34,87.47,69.80,215.24,180.99,230.00,211.20,173.75,96.30,84.67
prcp,FL,1995,84.19,49.08,73.59,89.75,90.42,252.60,196.11,248.88,163.05,199.86,66.13,42.41
